,_id,price,bedroom,bathroom,area,district,city,releaseDate,id
670,{'$oid': '65edbcc87bd0c6316a367871'},850000000,2,2,160,GEDANGAN,KAB. SIDOARJO,2024/03/10,917700679
671,{'$oid': '65edbcc87bd0c6316a367872'},1590400000,3,2,77,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,913110368
672,{'$oid': '65edbcc87bd0c6316a367873'},{'$numberLong': '10500000000'},6,7,550,LAKARSANTRI,KOTA SURABAYA,2024/03/10,917700677
673,{'$oid': '65edbcc87bd0c6316a367874'},{'$numberLong': '13385000000'},3,2,350,KEBON JERUK,JAKARTA BARAT,2024/03/06,917508702
674,{'$oid': '65edbcc87bd0c6316a367875'},625000000,3,3,140,KADIA,KOTA KENDARI,2024/02/15,916539941
675,{'$oid': '65edbcc87bd0c6316a367876'},50000000,3,2,63,PASAR KEMIS,KAB. TANGERANG,2024/02/18,916647949
676,{'$oid': '65edbcc87bd0c6316a367877'},699000000,3,1,118,SAWANGAN,KOTA DEPOK,2024/11/25,881125825
677,{'$oid': '65edbcc87bd0c6316a367878'},330000000,2,1,45,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,913647023
678,{'$oid': '65edbcc87bd0c6316a367879'},{'$numberLong': '3900000000'},5,5,300,CIPUTAT,KOTA TANGERANG SELATAN,2024/03/10,917700662
679,{'$oid': '65edbcc87bd0c6316a36787a'},430000000,2,2,60,SUKATANI,KAB. BEKASI,2024/03/10,915091434
680,{'$oid': '65edbcc87bd0c6316a36787b'},490000000,2,1,45,MUSTIKA JAYA,KOTA BEKASI,2024/03/10,915241062
681,{'$oid': '65edbcc87bd0c6316a36787c'},950000000,4,2,150,KARTASURA,KAB. SUKOHARJO,2024/03/10,917700640
682,{'$oid': '65edbcc87bd0c6316a36787d'},210000000,2,1,49,SUKODONO,KAB. SIDOARJO,2024/03/10,917700612
683,{'$oid': '65edbcc87bd0c6316a36787e'},278000000,2,1,36,RAYA DARMO,KOTA SURABAYA,2024/03/10,917700611
684,{'$oid': '65edbcc87bd0c6316a36787f'},{'$numberLong': '5750000000'},5,5,250,SAMBIKEREP,KOTA SURABAYA,2024/03/10,917700600
685,{'$oid': '65edbcc87bd0c6316a367880'},{'$numberLong': '20000000000'},7,6,1145,CILANDAK,JAKARTA SELATAN,2024/03/10,917700589
686,{'$oid': '65edbcc87bd0c6316a367881'},300000000,2,1,148,TANJUNG PANDAN,KAB. BELITUNG,2024/03/10,917700552
687,{'$oid': '65edbcc87bd0c6316a367882'},1500000000,3,2,58,CIMANGGIS,KOTA DEPOK,2024/03/10,917700535
688,{'$oid': '65edbcc87bd0c6316a367883'},395000000,5,3,110,CITAYAM,KOTA DEPOK,2024/03/04,917385084
689,{'$oid': '65edbcc87bd0c6316a367884'},1825000000,4,2,162,PALMERAH,JAKARTA BARAT,2024/02/06,913841687
690,{'$oid': '65edbcc87bd0c6316a367885'},1550000000,3,2,120,MANDALAJATI,KOTA BANDUNG,2024/02/09,916301115
691,{'$oid': '65edbcc87bd0c6316a367886'},350000000,3,1,50,LEMBANG,KAB. BANDUNG BARAT,2024/02/17,916601011
692,{'$oid': '65edbcc87bd0c6316a367887'},{'$numberLong': '2500000000'},3,2,250,BUAHBATU (MARGACINTA),KOTA BANDUNG,2024/03/10,915533363
693,{'$oid': '65edbcc87bd0c6316a367888'},1995000000,3,3,136,KEMIRI,KAB. TANGERANG,2024/03/10,917700506
694,{'$oid': '65edbcc87bd0c6316a367889'},1800000000,3,3,140,REGOL,KOTA BANDUNG,2024/03/10,915533139
695,{'$oid': '65edbcc87bd0c6316a36788a'},750000000,2,1,55,PATI,KAB. PATI,2024/03/10,917700481
696,{'$oid': '65edbcc87bd0c6316a36788b'},450000000,3,1,96,JONGGOL,KAB. BOGOR,2024/03/10,915172662
697,{'$oid': '65edbcc87bd0c6316a36788c'},1250000000,4,2,100,ANTAPANI (CICADAS),KOTA BANDUNG,2024/03/10,915533688
698,{'$oid': '65edbcc87bd0c6316a36788d'},{'$numberLong': '2700000000'},5,4,155,BOGOR TENGAH - KOTA,KOTA BOGOR,2024/03/10,917700462
699,{'$oid': '65edbcc87bd0c6316a36788e'},915000000,3,2,95,ARCAMANIK,KOTA BANDUNG,2024/03/10,915509642
700,{'$oid': '65edbcc87bd0c6316a36788f'},250000000,2,1,36,PANCORAN MAS,KOTA DEPOK,2024/03/10,914929515
701,{'$oid': '65edbcc87bd0c6316a367890'},240000000,2,1,30,SAWANGAN,KOTA DEPOK,2024/03/10,914770386
702,{'$oid': '65edbcc87bd0c6316a367891'},325000,2,1,35,GODEAN,KAB. SLEMAN,2024/03/10,917700431
703,{'$oid': '65edbcc87bd0c6316a367892'},{'$numberLong': '3000000000'},7,3,800,PATEBON,KAB. KENDAL,2024/02/09,916302691
704,{'$oid': '65edbcc87bd0c6316a367893'},800000000,3,2,120,PANCORAN MAS,KOTA DEPOK,2024/03/07,908710941
705,{'$oid': '65edbcc87bd0c6316a367894'},395000000,2,1,63,ASTANA ANYAR,KOTA BANDUNG,2024/03/13,864972730
706,{'$oid': '65edbcc87bd0c6316a367895'},235000000,2,1,30,MENGANTI,KAB. GRESIK,2024/02/12,916402314
707,{'$oid': '65edbcc87bd0c6316a367896'},1995000000,3,3,136,KEBAYORAN LAMA,JAKARTA SELATAN,2024/03/10,917700402
708,{'$oid': '65edbcc87bd0c6316a367897'},750000000,2,1,55,GAYAMSARI,KOTA SEMARANG,2024/03/10,917700395
709,{'$oid': '65edbcc87bd0c6316a367898'},{'$numberLong': '2750000000'},5,5,270,JAGAKARSA,JAKARTA SELATAN,2024/03/10,915626709
710,{'$oid': '65edbcc87bd0c6316a367899'},1400000000,6,4,220,ALANG-ALANG LEBAR,KOTA PALEMBANG,2024/03/10,917700355
711,{'$oid': '65edbcc87bd0c6316a36789a'},900000000,2,1,55,JAGAKARSA,JAKARTA SELATAN,2024/03/10,915636492
712,{'$oid': '65edbcc87bd0c6316a36789b'},550000000,2,1,51,CIBIRU,KOTA BANDUNG,2024/03/10,908278992
713,{'$oid': '65edbcc87bd0c6316a36789c'},2000000000,4,4,165,BOGOR TENGAH - KOTA,KOTA BOGOR,2024/03/10,917700323
714,{'$oid': '65edbcc87bd0c6316a36789d'},455000000,2,1,36,MANDALAJATI,KOTA BANDUNG,2024/03/10,907278904
715,{'$oid': '65edbcc87bd0c6316a36789e'},1650000000,4,3,112,BUMI SERPONG DAMAI,KOTA TANGERANG SELATAN,2024/03/10,917700313
716,{'$oid': '65edbcc87bd0c6316a36789f'},386000000,2,1,38,TAMAN,KAB. SIDOARJO,2024/03/10,917700308
717,{'$oid': '65edbcc87bd0c6316a3678a0'},1995000000,3,3,136,TANGERANG,KOTA TANGERANG,2024/03/10,917700303
